               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10773,            0.027742,            0.034435,             0.40628,             0.27952,             0.13524,            0.033708,            0.083706,              0.0175,            0.019408,             0.07021,             0.00331,             0.00331
                   1,            0.078373,            0.019721,            0.017407,             0.47157,             0.48134,             0.24431,             0.07886,            0.070368,            0.013459,           0.0093811,            0.040144,           0.0065776,           0.0065776
                   2,            0.069631,            0.017613,           0.0089111,             0.33774,              0.7576,             0.42086,             0.14118,            0.061587,            0.012459,           0.0056455,            0.010012,           0.0097792,           0.0097792
                   3,            0.060344,            0.015685,           0.0055621,               0.708,             0.84484,             0.79056,             0.29334,            0.056564,            0.011344,           0.0044871,            0.009703,            0.009703,            0.009703
                   4,            0.051139,            0.014537,           0.0046009,             0.83711,             0.92654,             0.90848,             0.41712,            0.038774,            0.011008,           0.0036368,            0.009703,            0.009703,            0.009703
                   5,            0.046489,            0.013836,           0.0036783,             0.93345,             0.95901,             0.96981,             0.44099,            0.038971,            0.010629,           0.0030357,            0.009604,            0.009604,            0.009604
                   6,            0.044599,            0.013378,           0.0034841,              0.9291,             0.93496,             0.95628,             0.40961,            0.040889,            0.010918,           0.0031667,            0.009505,            0.009505,            0.009505
                   7,            0.042398,            0.012849,           0.0031237,             0.94996,             0.95523,             0.96594,             0.46946,            0.039772,            0.010343,           0.0024091,            0.009406,            0.009406,            0.009406
                   8,            0.041426,             0.01267,           0.0025981,             0.96536,             0.96195,             0.98266,             0.53507,             0.03406,            0.010084,           0.0022441,            0.009307,            0.009307,            0.009307
                   9,            0.040117,            0.012845,           0.0024114,             0.95671,             0.96018,              0.9798,             0.52753,            0.034928,           0.0099691,           0.0024231,            0.009208,            0.009208,            0.009208
                  10,            0.038618,            0.012229,           0.0024839,             0.94193,             0.97027,             0.98661,             0.55606,            0.033282,           0.0098462,           0.0025074,            0.009109,            0.009109,            0.009109
                  11,            0.037896,             0.01227,           0.0022748,              0.9579,             0.96773,             0.98162,             0.52342,            0.034134,           0.0098537,           0.0021065,             0.00901,             0.00901,             0.00901
                  12,            0.037178,            0.012186,           0.0020872,              0.9628,             0.97215,             0.98012,             0.52908,            0.033638,            0.009851,           0.0017542,            0.008911,            0.008911,            0.008911
                  13,             0.03647,            0.012025,           0.0023727,             0.95337,              0.9753,             0.98123,             0.56157,            0.031789,           0.0096813,            0.002356,            0.008812,            0.008812,            0.008812
                  14,            0.036466,            0.011958,           0.0019611,             0.96187,             0.97197,              0.9841,             0.55496,            0.031962,           0.0097135,           0.0018052,            0.008713,            0.008713,            0.008713
                  15,            0.035166,            0.011905,           0.0019656,             0.96115,             0.96476,             0.98202,             0.57013,            0.031113,           0.0096137,            0.001913,            0.008614,            0.008614,            0.008614
                  16,            0.034747,            0.011964,           0.0017508,             0.95425,             0.96885,             0.98303,             0.58628,            0.030521,           0.0095415,           0.0017516,            0.008515,            0.008515,            0.008515
                  17,            0.034406,            0.011917,           0.0017034,             0.96148,             0.98102,              0.9848,             0.59066,            0.030949,           0.0094971,           0.0016502,            0.008416,            0.008416,            0.008416
                  18,            0.033948,            0.011775,           0.0019638,             0.96175,             0.97849,             0.98456,             0.57777,            0.031543,           0.0095031,           0.0014404,            0.008317,            0.008317,            0.008317
                  19,            0.033614,            0.011688,           0.0017433,             0.94393,             0.96526,             0.98409,             0.56317,            0.032061,           0.0095948,           0.0019685,            0.008218,            0.008218,            0.008218
                  20,            0.033982,            0.011822,           0.0017198,             0.95689,              0.9796,             0.98333,             0.58977,              0.0297,           0.0094682,           0.0013674,            0.008119,            0.008119,            0.008119
                  21,             0.03254,            0.011564,           0.0014755,             0.96336,              0.9739,             0.98679,             0.59873,            0.029753,           0.0093048,           0.0014822,             0.00802,             0.00802,             0.00802
                  22,            0.032982,            0.011427,           0.0014993,             0.96154,             0.98152,             0.98608,             0.57236,            0.029281,           0.0092568,           0.0014443,            0.007921,            0.007921,            0.007921
                  23,            0.032089,            0.011456,           0.0012905,             0.96514,             0.97892,             0.98814,             0.58557,            0.030773,            0.009279,           0.0014033,            0.007822,            0.007822,            0.007822
                  24,            0.032515,            0.011186,           0.0013821,             0.96711,             0.97735,             0.98806,             0.59722,            0.029485,           0.0093352,           0.0014371,            0.007723,            0.007723,            0.007723
                  25,            0.031933,            0.011396,            0.001406,             0.95148,             0.97822,             0.98394,             0.59784,             0.02905,           0.0092787,           0.0013935,            0.007624,            0.007624,            0.007624
                  26,            0.031411,            0.011347,           0.0010696,             0.96408,             0.97122,             0.98408,              0.6041,            0.029194,           0.0092403,           0.0013475,            0.007525,            0.007525,            0.007525
                  27,             0.03128,            0.011186,           0.0012345,             0.96886,              0.9699,             0.98495,             0.59061,            0.028832,           0.0092868,           0.0013024,            0.007426,            0.007426,            0.007426
                  28,            0.031095,            0.011122,           0.0012173,             0.95643,             0.97812,             0.98583,             0.59001,            0.028983,           0.0092807,           0.0012507,            0.007327,            0.007327,            0.007327
                  29,            0.030923,            0.011075,           0.0012569,             0.96198,             0.97208,             0.98517,             0.59023,            0.029235,           0.0092704,           0.0016052,            0.007228,            0.007228,            0.007228
                  30,            0.030919,            0.011188,           0.0012408,             0.95702,             0.97986,             0.98564,             0.59856,            0.028901,           0.0092594,           0.0013448,            0.007129,            0.007129,            0.007129
                  31,            0.030845,            0.011114,           0.0012667,             0.96262,             0.97003,             0.98931,             0.59068,              0.0284,           0.0092681,           0.0011259,             0.00703,             0.00703,             0.00703
